example_id,summary,base_cluster_id,cluster_name,category
0008c9c0-9aa1-436c-9468-e6461910c766,billing/account help with LangSmith invoice PDF download functionality,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
00a23ef5-46f9-47bd-afe2-66e1c73fc1b4,quota increase help with deployment quota for account management,14,Increase LangGraph Platform and LangSmith deployment quota limits for organizational scaling,Admin/Account management
00c8a8bb-5e79-4dbd-bbb8-1d7ec865871d,User acknowledged a request and indicated they will add it to their list and create something in Teams for follow-up,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
00e9106a-6285-4b6f-9e93-91f4fd8b1dd7,billing/account help with invoice/receipt retrieval for payment made to organization account,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
0156a386-bc25-4e49-822b-6aa4e2fa0075,billing/account issues help with LangSmith Product for organization access problems - recurring monthly service disruptions affecting production deployment timeline,17,Configure LangSmith billing plan setup and subscription management,Admin/Account management
01a22f74-abaa-4367-99dc-825e95d2ca58,quota increase help with LangSmith deployment limits for beta testing implementation,14,Increase LangGraph Platform and LangSmith deployment quota limits for organizational scaling,Admin/Account management
029cbedd-eca8-4f9d-aeee-35739f9b67ea,billing/account help with LangSmith product for seat limit increase and enterprise plan pricing inquiry,17,Configure LangSmith billing plan setup and subscription management,Admin/Account management
02ec9ff0-7de8-4c59-a862-b51cbeca9a77,follow-up communication regarding a previous inquiry with no specific technical details provided,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
0328b038-fa6a-41f4-9fa8-7600d6d3774e,account access help with LangSmith platform for general platform exploration,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
034768ab-a3fd-4e1f-abe4-4975609ff28e,business discussion help with LangChain general platform for partnership/collaboration inquiry,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
035876c4-3c90-48ab-9b15-7189458644a2,access help with Slack community invitation for team members,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
037f0971-386d-41e1-a53d-f85521e04e92,billing/account help with payment processing for invoice from third-party organization,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
03bc1435-5b26-4f25-9371-e2a7bf2d6137,linking opportunities/SEO partnership with LangChain website for general business outreach,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
04101b96-6b50-435e-9c58-5db9a02afa45,account deletion help with LangSmith for account management,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
0437815f-075c-4da1-bde7-4fa53bd502bf,authentication/access help with LangSmith workspace member invitation system - experiencing issues with invite process where system shows invite already sent but invitee cannot find email notification,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
0450fa17-0ddb-431b-9560-0e9385a4a61d,billing/refund help with LangSmith subscription for unused service cancellation,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
04a410fe-81a6-41c4-a992-0abd59401e34,guest author content submission opportunity with LangChain website for publishing technical articles on development topics,6,Handle unsolicited guest posting and SEO marketing outreach attempts,Admin/Account management
04c26ce5-1e55-4927-8150-33b4ce1e192e,User received spam/unsolicited commercial offer unrelated to LangChain products - oil commodity trading solicitation,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
04edab14-a2d6-4a2b-b998-69d4ef9dfa86,User reported security vulnerabilities (HSTS missing and SSL/TLS issues) on company website and requested monetary reward for vulnerability disclosure,9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
0503035f-aacb-443d-95ec-19f136480394,admin role transfer help with account management for organization after previous admin was terminated,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
05087fba-d0c0-400b-8718-dfa8d4ccfe53,account deletion help with organization and account management for DSAR compliance request,7,Handle Admin account deletion for GDPR DSAR compliance,Admin/Account management
0527faff-316e-46ad-a988-499f34c8bf9e,billing/account help with LangSmith product for unexpected $330 charge related to extended data retention configuration,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
054128e5-9de6-4b64-849a-cc42061b37bf,account deletion help with LangSmith account management for DSAR compliance,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
056504cf-26c9-466c-b990-ce9a9d175b64,screen sharing support session to troubleshoot an ongoing technical issue with unspecified product,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
059dcf03-e9de-4bb8-b11f-320f71135a91,follow-up help with Admin/Account management for unspecified inquiry clarification,11,Resolve LangSmith authentication and account setup email delivery issues,Admin/Account management
068c824b-5bcb-4f37-9adb-66a1fb9a5ee9,partnership/distribution opportunity discussion with LangChain for business development in Korean market,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
0699cd8f-fdfc-42e1-b555-ebeb98c2b42c,account management help with LangSmith organization name update for administrative configuration,18,Handle LangSmith admin ownership transfers and regional account migrations,Admin/Account management
071fb1ee-dedd-4906-8915-c21b4f84e6a5,authentication/access help with account creation experiencing 403 errors when signing up with Google authentication and unable to access any workspace features or settings,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
07b1134a-d630-4964-ac45-14c0d71e1515,billing/account management help with LangSmith seat downgrade from Plus to Developer plan and LangGraph Platform deployment quota increase,17,Configure LangSmith billing plan setup and subscription management,Admin/Account management
07b710f8-532b-4f24-a0e0-c8d70221fc06,quick response help with general support inquiry for unspecified implementation,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
07fc3db7-cc9f-4982-92f4-c0348e1bb3f1,Business Associate Agreement (BAA) for HIPAA compliance with LangSmith product for healthcare application deployment,13,Process enterprise legal compliance documentation for LangChain products,Admin/Account management
07fe41f7-19a4-40dd-be28-ffc6a333efe6,User sent spam message in Chinese about breakfast tips and weight loss advice with suspicious link - not a legitimate support request,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
081a9690-eb6b-421b-b363-008d6814387c,Organizational change notification regarding team leadership transition and new point of contact for business partnership,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
0886f1a0-c7f6-4e4c-9c5b-6fd13b21e68c,access help with Slack community eligibility requirements for sole trader/individual developer status,15,Resolve LangSmith authentication and organization access issues,Admin/Account management
08dc90f6-7c8d-4da3-86f7-ebaf1ab6d5c1,User received unsolicited SEO and promotional services offer unrelated to LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0911d7e9-a985-4b06-924f-10e19cd43754,legal documentation help with LangSmith product for compliance and security due diligence process requiring NDA and DPA agreements,13,Process enterprise legal compliance documentation for LangChain products,Admin/Account management
092b7471-bc17-4130-b21a-6b64b069c419,User received potential spam/phishing email claiming domain renewal notice with suspicious formatting and payment request,10,Handle Admin security spam and phishing prevention,Admin/Account management
09d21929-052f-4cfe-9bd0-0fb578ccce3f,User sent an unclear greeting message with no specific technical request or product-related inquiry,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
09feebc9-23de-42d9-a4a9-839de17f6bf8,account deletion help with LangSmith platform for data subject access rights compliance,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
0a2c3a22-24ad-4455-884d-6b50facb0c61,"User received potential phishing/spam document signature request claiming to be from LangChain supplier approval process via PandaDoc, support team identified this as unrelated to LangChain operations and declined to process for security reasons",10,Handle Admin security spam and phishing prevention,Admin/Account management
0a2e6bf3-ef77-44aa-b148-4dcb15c89e59,billing/account issues help with LangSmith Product for unexpected charges and plan management,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
0a5c7528-0950-4100-b113-a15e087fffe5,"billing/account help with LangSmith Startups Plan activation and payment method setup, including questions about monthly seat charges and pricing structure",17,Configure LangSmith billing plan setup and subscription management,Admin/Account management
0aa6d639-ca9f-47a6-8808-06c3206244f8,Spam inquiry unrelated to LangChain products - unsolicited petroleum products offer requiring ticket closure without response,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0ac84fd9-9bc7-44d7-ade3-dffd3305aba5,follow-up response for unspecified support inquiry - no technical details provided in conversation,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
0b08d32a-baf0-410a-a496-2fde5e37cec0,collaboration opportunities for paid guest posts and link placements on the website for marketing purposes,6,Handle unsolicited guest posting and SEO marketing outreach attempts,Admin/Account management
0b0f21e1-bcb0-4116-a98f-18d768e290fc,billing/account management help with LangSmith account for invoice email address update configuration,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
0b3e3e8c-0779-48a1-a1cd-064a57e8a3f7,"User received notification about closure of supplier security issue regarding API key management requirements, including secure storage, regular rotation, and usage monitoring compliance",1,Handle Admin compliance security questionnaire completion processes,Admin/Account management
0b51a521-8bd9-4773-bec3-0997c4f599e2,account management help with LangSmith email address change functionality experiencing a bug where confirmation emails are not being sent by the identity provider,11,Resolve LangSmith authentication and account setup email delivery issues,Admin/Account management
0bcd5424-0204-4196-9ed0-10d41792ccad,collaboration opportunity as a web developer seeking to work on projects with the team,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
0bfd4d23-5c23-41e8-8e16-9bad2e1188e4,product catalog and business terms information for potential bulk purchasing and establishing business relationship,13,Process enterprise legal compliance documentation for LangChain products,Admin/Account management
0c140648-590e-4043-bd71-647660feb3fe,User received promotional/spam email from freelance writer offering services - not a legitimate support conversation about any LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0c47ed39-5bf1-4028-84f5-73d14e59f382,billing help with invoice resend for account management,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
0c4d1ce4-df23-4c92-8357-d6fa02d3e1e0,User received notification about updated terms and policies from financial services company - not related to LangChain/LangGraph/LangSmith products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0c66805b-e162-4b36-8751-df57cfe9b262,billing/account help with event ticket purchasing for group order management,12,Resolve Admin billing invoice generation and document management issues,Admin/Account management
0cb3edee-54d8-45fd-bc3b-29541b975cee,External company requested collaboration/partnership for content marketing and backlink arrangement with LangChain website,16,Handle business partnership and collaboration inquiries for LangChain,Admin/Account management
0d12cc80-4ed0-43b4-a046-67e91c68d674,User received unsolicited marketing email about global trademark services for startups - this appears to be spam/marketing content unrelated to LangChain products,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0d53f177-c0f8-4929-a4cd-db905dff0596,billing help with refund for unexpected charge after plan cancellation,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
0dc37bea-b20c-4c4d-b212-7bb2d0e3a5e0,User sent unsolicited marketing/promotional content offering paid guest posts and backlinks from various websites - this is spam/promotional content unrelated to any technical support needs,9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
0dcfdab5-bb56-4c28-b299-1f9a3460ab22,marketing/promotional help with website content for guest posting and link insertion opportunities,6,Handle unsolicited guest posting and SEO marketing outreach attempts,Admin/Account management
0e23a22c-eb0c-46f9-8165-254fc5a35c29,User received unsolicited business development outreach from third-party marketplace seeking to showcase AI agents on their platform,9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
0e2e2d29-0c38-42f8-b66a-76718ec8178f,account deletion help with LangSmith for data subject access rights compliance,2,Handle LangSmith account deletion and data privacy compliance,Admin/Account management
0e816b43-8fa2-406e-9482-069aefc10cc1,billing discrepancy investigation with LangSmith Product for trace volume and extended data retention charges,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
0e88b2e8-7534-44dc-b54c-9346df942942,User received security questionnaire request from third-party vendor requiring completion of security assessment and trust center documentation for vendor compliance evaluation,1,Handle Admin compliance security questionnaire completion processes,Admin/Account management
0e9cffc7-53f8-4028-a7da-2d4db9c00e15,User submitted a general support ticket inquiry and received an automated acknowledgment response with ticket number and instructions for providing additional information,8,Handle non-technical administrative support ticket communications and system responses,Admin/Account management
0eb3c6ef-5c79-4c78-ad6a-76a4cde36c8d,User sent unrelated sales inquiry for petroleum products - not related to any LangChain/LangGraph/LangSmith products or services,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0eba3a16-36c7-4816-a6be-a89b241c939f,follow-up communication regarding post-conference survey quote for marketing materials,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
0ec2c816-51f8-4831-bdea-281d1873c4d3,sponsorship partnership for hackathon event - not a technical support issue but a business development inquiry,5,Handle non-technical business outreach and administrative coordination requests,Admin/Account management
0ec7840b-fcaf-479f-a07b-7837bc222244,User received potential spam/phishing message claiming to be from HR requesting document signature via suspicious link,10,Handle Admin security spam and phishing prevention,Admin/Account management
0ec79a90-5959-4a35-af53-6158f4411b91,feedback survey completion for customer satisfaction assessment,1,Handle Admin compliance security questionnaire completion processes,Admin/Account management
0f027d29-aa49-4f8a-81f5-3ca59a1393f5,billing/account issues help with LangSmith Product for unintended Extended Data Retention charges and refund request,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
0f04d200-6080-4d47-83b1-4d32f3a27624,security compliance documentation help with LangSmith Product for third-party vendor assessment questionnaire,13,Process enterprise legal compliance documentation for LangChain products,Admin/Account management
0f0cd9f3-5a93-4094-be89-9a1477924e3e,User received unsolicited SEO services marketing email targeting the LangChain website - this is spam/marketing outreach unrelated to actual product support,3,Filter commercial spam communications misdirected to support channels,Admin/Account management
0f113b72-ad09-4d59-ae81-9dcff824c67f,"External vendor offered SEO and promotional services for website optimization, which was politely declined by support team as no external SEO services were needed",9,Handle unsolicited marketing and spam communications to support channels,Admin/Account management
0f8ac7d1-4833-4966-a812-4a6092e822b1,billing/refund help with LangSmith subscription due to technical issues preventing platform usage,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
0f96e04e-a24f-4b52-ae47-fe785448a20f,billing/account help with LangSmith Plus subscription cancellation to avoid unwanted charges for the following month,4,Handle LangSmith subscription cancellation and billing refund requests,Admin/Account management
