example_id,summary,base_cluster_id,base_cluster_name,base_cluster_description
0008c9c0-9aa1-436c-9468-e6461910c766,"help them download PDF invoices from the billing section of their account, as they were unable to find a download option in the interface and needed copies of specific monthly invoices.",23,Provide PDF invoice downloads from LangSmith billing interface,"Users requested assistance accessing and downloading PDF invoices from their LangSmith billing accounts, as they were unable to locate download options in the interface or retrieve copies of specific monthly invoices. Support teams fulfilled these requests by providing invoice access through download links or by directly emailing PDF copies to users' billing addresses for accounting and tax purposes."
0021ed44-9685-45b3-96e6-2b2c7454bffb,provide preliminary documentation and details about an upcoming open source evaluation package that was discussed in a previous meeting. The support team responded by sharing two new evaluation repositories containing commonly used evaluation tools including unordered match and trajectory evaluation methods.,109,"Provide advanced LangSmith evaluation features and experiment management
capabilities","Users
requested support for advanced LangSmith evaluation features including access
to batch endpoint integration, experimental search capabilities, binary file
uploads for multimodal evaluations, and the LLM-as-Judge alignment preview
feature. They also sought enhanced experiment management functionality such as
cross-account experiment merging, human-in-the-loop evaluation integration,
customizable naming conventions, and dashboard capabilities for multi-dataset
portfolio reporting with statistical analysis."
0025ccd5-6093-4ca8-93e3-7b293cfa16ef,"provide recommendations for deploying LangSmith across multiple geographic locations and environments, specifically asking whether to use a single instance with trace segmentation or separate instances per location and environment combination.",83,Optimize LangSmith self-hosted deployment performance and monitoring,"Users requested comprehensive guidance on scaling and optimizing their LangSmith self-hosted deployments to handle high-volume production workloads, including performance tuning, infrastructure sizing, and database configurations. They also sought monitoring recommendations, observability setup, access control configurations, and architectural guidance for multi-environment deployments to ensure stable operation under concurrent load."
002b6cb6-eb00-48ff-b2cc-a4bcd5635596,increase the number of available deployments on their LangGraph Cloud account from 1 to a higher limit. The support agent fulfilled this request by increasing their deployment limit to 5.,44,Increase LangGraph platform deployment quota limits,"Users requested increases to their LangGraph platform deployment quotas to accommodate multiple environments such as development, staging, and production deployments. The support team successfully processed these quota increase requests, typically raising limits from 1 deployment to 2-5 deployments or higher based on user needs."
003e9bfb-b973-4de6-b144-c13cf8be84df,set up a free security program for a repository on a bug bounty platform. This is a security-related outreach offering services to help identify vulnerabilities through a community of security researchers.,51,Handle unsolicited security vulnerability reports and bug bounty inquiries,"Users submitted multiple unsolicited security vulnerability reports across various domains and endpoints, seeking bug bounty rewards despite being informed these domains were not part of the official bug bounty program. The support team consistently clarified that most reported issues were either already known, not eligible for rewards, or fell outside the scope of their vulnerability disclosure program."
004f776f-8e6b-45dc-89f7-22dc1f551c07,"help with LangSmith tracing issues where 20-40% of traces were not being submitted to the platform in their production FastAPI environment, despite no error messages appearing in logs. The support team helped diagnose the issue and provided solutions including updating the SDK version and implementing the wait_for_all_tracers() method, plus guidance on programmatic monitoring of trace submissions.",134,Resolve LangSmith trace ingestion and dropping issues,"Users experienced widespread issues with LangSmith trace ingestion and tracking reliability, where traces were being dropped, missing, or incompletely submitted to the platform despite applications functioning correctly. The primary resolution involved implementing wait_for_all_tracers() to ensure proper trace flushing before process termination, along with SDK updates and proper client instance management to prevent race conditions."
005a4830-af1f-4fde-9d4e-25153da5a058,"help with a ModuleNotFoundError when trying to import ToolNode from langgraph.prebuilt in LangGraph version 0.3.4, which was preventing them from building their LLM agent. The issue was resolved by creating a new virtual environment and reinstalling langgraph.",150,Resolve LangGraph dependency and build compatibility errors,"Users experienced various dependency and build errors when working with LangGraph platform deployments and OSS installations, including ImportError issues with missing constants, ModuleNotFoundError exceptions from deprecated modules, and version compatibility problems between langgraph packages. The support team resolved these issues by releasing updated package versions with backward compatibility, providing upgrade guidance for minimum required versions, and helping users configure proper dependency management in their requirements files and virtual environments."
00602ce6-8851-4ecd-aa31-b7a5298728d8,provide help with their LangChain development environment setup or configuration issues.,76,Assist with LangChain development environment setup and configuration,"Users requested assistance with LangChain development environment setup and configuration issues, along with support for accessing LangMem testing credentials and API keys. Additionally, users sought general support information, consulting services for Plus plan subscribers, and product demos while requesting language localization and communication platform guidance."
0081a25f-5cdf-4cf4-b28e-dceca5e7e099,"help with SSO configuration issues in LangSmith, specifically encountering internal server errors when trying to save SAML metadata due to database field size limitations and duplicate entity ID conflicts.",52,Configure LangSmith SSO authentication and resolve SAML OIDC integration issues,"Users requested assistance with configuring Single Sign-On (SSO) authentication for their LangSmith deployments, encountering issues with SAML metadata limitations, OIDC setup with Microsoft Entra, and various SSO provider integrations. The support requests involved troubleshooting SAML configuration errors, database field constraints, certificate validation problems, and user onboarding challenges across both cloud and self-hosted LangSmith instances."
00a23ef5-46f9-47bd-afe2-66e1c73fc1b4,increase their deployment quota. The support agent successfully upgraded their quota from 1 to 5 deployments.,92,Increase LangGraph platform deployment quota limits for organizations,"Users requested increases to their LangGraph platform deployment quotas to support multiple environments such as development, testing, and production deployments within their organizations. The support team consistently approved these requests by upgrading users from their initial limits (typically 1 deployment) to higher quotas (usually 5 deployments) to accommodate their multi-environment deployment needs."
