example_id,x,y,cluster_id,summary
0090d039-fb62-40bc-9d01-1de1cef8e917,7.491424,1.680855,13,"build an AI-powered engineering data question-answering system that can retrieve and summarize relevant information from a knowledge graph, and rewrite user questions into Cypher queries to search the graph."
00b04a19-44bc-4366-a894-97aedffe2e4f,10.124875,-0.72147465,12,"implement a voice chat application with the ability to select audio input and output devices, detect voice versus noise, and log relevant information about the voice packets and client connections."
00e303c8-d529-4137-9d00-16d8cd253ab8,7.9490776,1.3745955,4,"build a system that can access and analyze data from a construction cost management system, and generate code to retrieve and display relevant information based on the user's natural language queries."
033cb51b-2486-4930-ba1a-f581619d9cdf,9.314727,-2.2475011,2,learn how to implement long-term memory in an AI chatbot using LangChain and LangGraph.
0415fb0e-cc6b-4913-be11-5ddaf153b4d3,9.34192,-3.3103952,6,"help resolve an issue with installing or running the LangGraph CLI, which the user is unable to access due to a ""command not found"" error."
057ad650-eb4c-4acd-8bce-56f452bba443,7.517923,1.6414939,13,"implement a system that can answer questions about engineering data stored in a graph knowledge base, by extracting relevant information and rewriting the user's question into a query against the graph."
06c2dd43-a8d1-4a05-8633-8ad0cbb08f54,8.858042,-0.81853527,4,help them develop a full-stack web application based on agentic AI technology.
08374be4-b40a-43f3-9598-4d0fbf516972,9.135618,-1.064272,5,"help them understand how to disable or configure the ""think mode"" feature when using the ChatOpenAI interface to access the Qwen3 model."
0afd2097-30f5-4cf0-bcc5-6f8766f0fe17,9.725785,-2.4152899,2,provide Python code to chat with a website using LangChain and OpenAI.
0d52dc68-a89e-40e5-989d-120202707eeb,7.723355,-3.0050752,3,"learn how to switch from a development to a production deployment type on the LangGraph platform, as the deployment type cannot be changed after creation."
113f7b9d-81ef-480e-a6cb-d22ed5788568,7.698667,1.4300109,13,"build an AI-powered system that can understand natural language queries, retrieve relevant information from a knowledge base, and generate code to access engineering data, with the ability to handle multiple rounds of interaction and provide results to the user."
118b42b5-7e88-4c8c-9ac4-7eaa2dc29d69,10.216165,-2.4171207,10,"help them understand how to properly configure a LangChain agent to pass arguments to tool functions with the correct data types, rather than as strings."
124d6b32-02f7-4d96-a2c4-e905d02a3171,10.043878,-3.005742,10,"explain what a ""tool node"" is, which is a component in the LangChain ecosystem that allows language models to interact with external tools and APIs."
175e050a-e8d0-4b13-aee8-596b50594df3,9.928977,-3.814698,2,"provide information about the book ""Generative AI with LangChain - Second Edition: Build production-ready LLM applications and advanced agents using Python, LangChain, and LangGraph""."
1809c0a2-90d8-4781-88b4-4fe3cea804ad,9.810089,-3.2408998,10,"understand how to trace their use of LangChain and LangGraph in LangSmith, and whether they need to use the .invoke() method specifically or if there are other ways to enable tracing."
19171a89-3536-4178-a8ce-1e0335b3f1c7,7.9091506,-1.1232896,7,"help debug an issue with their multi-agent system, where the supervisor agent is not properly passing the full state to the sub-agents, causing the system to not respond as expected."
19fa46fe-c524-409a-a39b-2291117a9cd0,7.642692,-2.039069,0,"understand the licensing and organizational structure options for a cloud-based AI platform, including the ability to create multiple organizations and workspaces to separate different customer solutions."
1b78b29a-7f8b-4395-8ae6-a1d87486a121,9.557751,-2.5725584,2,learn how to create and use a chat model in LangChain from a simple string input. The assistant provides detailed steps and references on how to do this.
1bd141fc-cf00-4187-b763-8cee64b2bf0c,7.7792807,1.4434133,13,"build an AI-powered system that can understand natural language queries, retrieve relevant information from a knowledge base, and generate code to access engineering data, while providing safeguards and error handling."
1c30e16b-98a9-4cbf-8d83-b28df1b614cc,10.483088,-2.3581243,7,learn how to properly format docstrings for their tools.
